race_id,bet_type,stake,return
202645072801,枠連,0,0
202645072801,馬連,1000,370
202645072801,ワイド,1000,1330
202645072801,馬単,2000,450
202645072801,3連複,1000,1320
202645072801,3連単,6000,3180
202645072802,単勝,500,880
202645072802,複勝,500,700
202645072802,枠連,0,0
202645072802,馬連,1000,2150
202645072802,ワイド,1000,1750
202645072802,馬単,2000,4520
202645072802,3連複,1000,2750
202645072802,3連単,6000,26730
202645072803,単勝,500,1890
202645072803,複勝,500,410
202645072803,枠連,0,0
202645072803,馬連,1000,890
202645072803,ワイド,1000,1340
202645072803,馬単,2000,3730
202645072803,3連複,1000,760
202645072803,3連単,6000,9570
202645072804,単勝,500,360
202645072804,複勝,500,450
202645072804,枠連,0,0
202645072804,馬連,1000,1020
202645072804,ワイド,1000,680
202645072804,馬単,2000,1780
202645072804,3連複,1000,520
202645072804,3連単,6000,4820
202645072805,単勝,500,150
202645072805,複勝,500,300
202645072805,枠連,0,0
202645072805,馬連,1000,0
202645072805,ワイド,1000,240
202645072805,馬単,2000,0
202645072805,3連複,1000,0
202645072805,3連単,6000,0
202645072806,単勝,500,340
202645072806,複勝,500,250
202645072806,枠連,0,0
202645072806,馬連,1000,0
202645072806,ワイド,1000,250
202645072806,馬単,2000,0
202645072806,3連複,1000,0
202645072806,3連単,6000,0
202645072807,単勝,500,2130
202645072807,複勝,500,580
202645072807,枠連,0,0
202645072807,馬連,1000,5050
202645072807,ワイド,1000,790
202645072807,馬単,2000,15060
202645072807,3連複,1000,0
202645072807,3連単,6000,0
202645072808,単勝,500,380
202645072808,複勝,500,370
202645072808,枠連,0,0
202645072808,馬連,1000,570
202645072808,ワイド,1000,720
202645072808,馬単,2000,1200
202645072808,3連複,1000,630
202645072808,3連単,6000,3870
202645072809,単勝,500,250
202645072809,複勝,500,270
202645072809,枠連,0,0
202645072809,馬連,1000,390
202645072809,ワイド,1000,220
202645072809,馬単,2000,700
202645072809,3連複,1000,0
202645072809,3連単,6000,0
202645072810,単勝,500,0
202645072810,複勝,500,320
202645072810,枠連,0,0
202645072810,馬連,1000,0
202645072810,ワイド,1000,360
202645072810,馬単,2000,0
202645072810,3連複,1000,0
202645072810,3連単,6000,0
202645072811,単勝,500,0
202645072811,複勝,500,410
202645072811,枠連,0,0
202645072811,馬連,1000,0
202645072811,ワイド,1000,0
202645072811,馬単,2000,0
202645072811,3連複,1000,0
202645072811,3連単,6000,0
202645072812,単勝,500,220
202645072812,複勝,500,240
202645072812,枠連,0,0
202645072812,馬連,1000,0
202645072812,ワイド,1000,240
202645072812,馬単,2000,0
202645072812,3連複,1000,0
202645072812,3連単,6000,0
202646072801,単勝,500,840
202646072801,複勝,500,570
202646072801,枠連,0,0
202646072801,馬連,1000,5250
202646072801,ワイド,1000,1040
202646072801,馬単,2000,9120
202646072801,3連複,1000,0
202646072801,3連単,6000,0
202646072802,単勝,500,140
202646072802,複勝,500,110
202646072802,枠連,0,0
202646072802,馬連,1000,0
202646072802,ワイド,1000,0
202646072802,馬単,2000,0
202646072802,3連複,1000,0
202646072802,3連単,6000,0
202646072803,単勝,500,480
202646072803,複勝,500,510
202646072803,枠連,0,0
202646072803,馬連,1000,2340
202646072803,ワイド,1000,1240
202646072803,馬単,2000,3990
202646072803,3連複,1000,1670
202646072803,3連単,6000,12930
202646072804,単勝,500,0
202646072804,複勝,500,0
202646072804,枠連,0,0
202646072804,馬連,1000,0
202646072804,ワイド,1000,0
202646072804,馬単,2000,0
202646072804,3連複,1000,0
202646072804,3連単,6000,0
202646072805,単勝,500,0
202646072805,複勝,500,0
202646072805,枠連,0,0
202646072805,馬連,1000,0
202646072805,ワイド,1000,0
202646072805,馬単,2000,0
202646072805,3連複,1000,0
202646072805,3連単,6000,0
202646072806,単勝,500,160
202646072806,複勝,500,380
202646072806,枠連,0,0
202646072806,馬連,1000,1120
202646072806,ワイド,1000,630
202646072806,馬単,2000,1690
202646072806,3連複,1000,430
202646072806,3連単,6000,2840
202646072807,単勝,500,240
202646072807,複勝,500,370
202646072807,枠連,0,0
202646072807,馬連,1000,2080
202646072807,ワイド,1000,640
202646072807,馬単,2000,2770
202646072807,3連複,1000,0
202646072807,3連単,6000,0
202646072808,単勝,500,100
202646072808,複勝,500,330
202646072808,枠連,0,0
202646072808,馬連,1000,200
202646072808,ワイド,1000,660
202646072808,馬単,2000,280
202646072808,3連複,1000,390
202646072808,3連単,6000,760
202646072809,単勝,500,120
202646072809,複勝,500,420
202646072809,枠連,0,0
202646072809,馬連,1000,690
202646072809,ワイド,1000,1130
202646072809,馬単,2000,670
202646072809,3連複,1000,1230
202646072809,3連単,6000,3120
202646072810,単勝,500,0
202646072810,複勝,500,540
202646072810,枠連,0,0
202646072810,馬連,1000,0
202646072810,ワイド,1000,1170
202646072810,馬単,2000,0
202646072810,3連複,1000,0
202646072810,3連単,6000,0
202648072801,単勝,500,160
202648072801,複勝,500,290
202648072801,枠連,0,0
202648072801,馬連,1000,0
202648072801,ワイド,1000,370
202648072801,馬単,2000,0
202648072801,3連複,1000,0
202648072801,3連単,6000,0
202648072802,単勝,500,0
202648072802,複勝,500,0
202648072802,枠連,0,0
202648072802,馬連,1000,0
202648072802,ワイド,1000,0
202648072802,馬単,2000,0
202648072802,3連複,1000,0
202648072802,3連単,6000,0
202648072803,単勝,500,0
202648072803,複勝,500,0
202648072803,枠連,0,0
202648072803,馬連,1000,0
202648072803,ワイド,1000,0
202648072803,馬単,2000,0
202648072803,3連複,1000,0
202648072803,3連単,6000,0
202648072804,単勝,500,200
202648072804,複勝,500,140
202648072804,枠連,0,0
202648072804,馬連,1000,0
202648072804,ワイド,1000,0
202648072804,馬単,2000,0
202648072804,3連複,1000,0
202648072804,3連単,6000,0
202648072805,単勝,500,190
202648072805,複勝,500,290
202648072805,枠連,0,0
202648072805,馬連,1000,770
202648072805,ワイド,1000,350
202648072805,馬単,2000,840
202648072805,3連複,1000,0
202648072805,3連単,6000,0
202648072806,単勝,500,220
202648072806,複勝,500,370
202648072806,枠連,0,0
202648072806,馬連,1000,0
202648072806,ワイド,1000,380
202648072806,馬単,2000,0
202648072806,3連複,1000,0
202648072806,3連単,6000,0
202648072807,単勝,500,650
202648072807,複勝,500,540
202648072807,枠連,0,0
202648072807,馬連,1000,4950
202648072807,ワイド,1000,1230
202648072807,馬単,2000,8100
202648072807,3連複,1000,0
202648072807,3連単,6000,0
202648072808,単勝,500,190
202648072808,複勝,500,140
202648072808,枠連,0,0
202648072808,馬連,1000,0
202648072808,ワイド,1000,0
202648072808,馬単,2000,0
202648072808,3連複,1000,0
202648072808,3連単,6000,0
202648072809,単勝,500,0
202648072809,複勝,500,330
202648072809,枠連,0,0
202648072809,馬連,1000,0
